,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,name,smiles,mode,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,rdock,n_inspirations,crystal_code,fraction_overlapping,rdock_free,rdock_free_top10,rdock_pharm,rdock_pharm_top10,old_RMSD,filtered_reference2minimized_rmsd,based_on_x0434,overlap_%
JAN-GHE-83b26c96-13,1.0164274445330566,1.661135962978347,1.7777041373636955,JAN-GHE-83b26c96-13,Cc1ccncc1NC(=O)Cc1cccc(I)c1,expansion,-5.958095872024768,-5.53764133431908,0.4204545377056884,1.0164274445330566,16,2,61.47251915931702,['x0678'],[],7.727314,1,x10565,0.7777777777777778,4.961114,1.743852,2.405851,1.738619,2.098389,,False,77.77777777777779
JAN-GHE-83b26c96-14,1.0175737074040387,1.5931444732038582,2.580524042386223,JAN-GHE-83b26c96-14,Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,expansion,-3.3118888279182856,-3.408409674881378,-0.0965208469630926,1.0175737074040387,16,5,57.97679114341736,['x0678'],[],6.002637,1,x10247,0.7619047619047619,7.675775,1.90542,2.481964,1.913671,1.478217,,False,76.19047619047619
JAN-GHE-83b26c96-15,0.5494440371866818,0.8305694958882129,0.9668132677703809,JAN-GHE-83b26c96-15,Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,expansion,-8.045106018082016,-7.861004681451184,0.1841013366308323,0.5494440371866818,16,3,46.59106802940369,['x0678'],[],2.311131,1,x11041,0.8421052631578947,6.180554,6.028606,2.45689,0.89733,1.542266,0.9668132677703809,False,84.21052631578947
JAN-GHE-83b26c96-19,0.7546533144431288,1.4271782255555887,1.8081099166223922,JAN-GHE-83b26c96-19,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,expansion,-6.434081920627936,-6.030689776093872,0.40339214453406413,0.7546533144431288,16,1,65.62544083595276,['x0678'],[],7.269615,1,x10996,0.9411764705882353,6.07104,5.94666,1.6529,1.580486,0.909663,1.8081099166223922,False,94.11764705882352
JAN-GHE-83b26c96-20,0.94706685350085,1.3921027934387604,1.5023854199239286,JAN-GHE-83b26c96-20,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,expansion,-6.447866146455083,-6.261841445433917,0.1860247010211659,0.94706685350085,16,4,71.71577405929565,['x0678'],[],8.117586,1,x10392,0.8,1.950098,1.603946,2.206159,1.35507,1.448665,,False,80.0
JAN-GHE-83b26c96-21,0.8589902502357055,5.898737391383007,5.825001273247358,JAN-GHE-83b26c96-21,Cc1ccncc1NS(=O)(=O)c1cccc(Cl)c1,expansion,-5.058724671935892,-5.5969165765398,-0.5381919046039085,0.8589902502357055,16,2,56.4577739238739,['x0678'],[],7.058275,1,x10606,0.4444444444444444,5.256999,3.962449,5.843128,5.583989,5.964984,,False,44.44444444444444
JAN-GHE-83b26c96-22,0.5344360929989663,0.7157628797304314,1.3216259304356885,JAN-GHE-83b26c96-22,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,expansion,-9.144877643196391,-9.569057221081188,-0.42417957788479627,0.5344360929989663,16,4,49.474539041519165,['x0678'],[],4.56666,1,x10422,0.8,2.042132,2.042132,2.053527,1.782805,1.733832,,False,80.0
JAN-GHE-83b26c96-23,0.9572369090251379,1.3976640780244727,1.479219152120469,JAN-GHE-83b26c96-23,Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,expansion,-5.589164678430261,-4.9016151234488206,0.6875495549814398,0.9572369090251379,16,4,73.98679232597351,['x0678'],[],7.351158,1,x10396,0.8,2.320694,1.875861,2.328584,1.872573,1.482681,,False,80.0
MAT-POS-7dfc56d9-1,0.431286778969963,0.862312008498084,0.9953918826271388,MAT-POS-7dfc56d9-1,COC(=O)c1ccc(S(N)(=O)=O)cc1,expansion,-6.0523769367228555,-5.929134541015084,0.12324239570777136,0.431286778969963,14,0,36.7991578578949,['x0161'],[],5.791552,1,x0161,1.0,6.227527,6.14529,6.022118,1.975721,0.525808,0.9953918826271388,False,100.0
TRY-UNI-2eddb1ff-1,0.5039443173605588,0.5713718688385003,0.9703943582514875,TRY-UNI-2eddb1ff-1,Cc1ccncc1NC(=O)Cc1cncc(C#N)c1,expansion,-5.9360572826900935,-5.501893730453212,0.4341635522368821,0.5039443173605588,16,3,39.402251958847046,['x0678'],['x0387'],4.132738,1,x10314,0.8421052631578947,7.321651,1.786269,,,2.08961,0.9703943582514875,False,84.21052631578947
TRY-UNI-2eddb1ff-2,1.4839198531035236,5.154834782644701,5.479727117090574,TRY-UNI-2eddb1ff-2,Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,expansion,-1.7193134552080998,-1.3467731090012676,0.3725403462068321,1.4839198531035236,18,1,164.91538095474243,"['x0387', 'x1382']",[],5.75308,2,x10723,0.5555555555555556,7.235384,4.956937,,,6.086339,,False,55.55555555555556
TRY-UNI-2eddb1ff-3,1.070517287650178,4.968684861208245,6.612661873453956,TRY-UNI-2eddb1ff-3,Cc1ccncc1NC(=O)C(C)c1cncc(Cl)c1,expansion,-7.8368454836385375,-7.560865462825378,0.2759800208131598,1.070517287650178,15,6,1667.231607913971,"['x0104', 'x0387']",[],6.561323,2,x10900,0.42105263157894735,5.82956,2.432732,,,6.101783,,False,42.10526315789473
TRY-UNI-2eddb1ff-7,2.694618605400666,9.096572211553097,10.977226125787274,TRY-UNI-2eddb1ff-7,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,expansion,21.92138215227307,22.386433989177625,0.4650518369045578,2.694618605400666,7,17,21310.19909596443,['x0387'],[],7.955208,1,x10789,0.20833333333333334,6.600145,4.071272,,,9.674259,,False,20.833333333333336
JAN-GHE-5a013bed-2,1.0066420975202652,1.554668835315097,2.020414239704323,JAN-GHE-5a013bed-2,O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21,expansion,-3.8037558268766993,-3.283986580982674,0.5197692458940253,1.0066420975202652,16,4,5323.955562114716,['x0678'],[],3.061322,1,x10466,0.8,2.727674,2.27076,1.587035,0.756818,3.881892,,False,80.0
EDG-MED-0da5ad92-1,0.6111031009576043,0.40121230352520343,0.4716119055682163,EDG-MED-0da5ad92-1,Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,expansion,-8.218939762314735,-8.466625664283166,-0.24768590196843104,0.6111031009576043,16,3,67.41879796981812,['x0434'],[],6.235606,1,x11041,0.8421052631578947,6.162899,6.153975,2.209647,1.36873,0.541817,0.4716119055682163,True,84.21052631578947
EDG-MED-0da5ad92-2,0.6164277127125287,1.280829223589156,1.9583772093541243,EDG-MED-0da5ad92-2,O=C(Cc1cccc(Cl)c1)Nc1cccnc1,expansion,-7.201163857280973,-6.8403624881129055,0.3608013691680672,0.6164277127125287,16,1,45.52309203147888,['x0434'],[],2.675227,1,x10201,0.8823529411764706,7.345182,5.909785,1.945532,1.039983,1.747063,1.9583772093541243,True,88.23529411764706
EDG-MED-0da5ad92-7,0.7171615055201999,1.2745664458944461,4.27509589010179,EDG-MED-0da5ad92-7,CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,expansion,-2.2929714943838753,-2.648576558134077,-0.3556050637502018,0.7171615055201999,16,7,102.65892100334167,['x0434'],[],5.399414,1,x11562,0.6956521739130435,5.910971,4.040821,3.839747,2.667752,1.859337,,True,69.56521739130434
EDG-MED-0da5ad92-8,0.5051877126375897,0.440903830216976,0.432111803947903,EDG-MED-0da5ad92-8,Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,expansion,-5.478307925109113,-5.108232113831036,0.37007581127807654,0.5051877126375897,16,2,40.965065002441406,['x0434'],[],3.114298,1,x10723,0.8333333333333334,2.396015,2.050636,2.06311,1.322373,0.542817,0.432111803947903,True,83.33333333333334
